,Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
60,,196,199,156,157,194,203,174,99,0,0,0,0,0,0
61,,23,26,20,21,14,26,19,12,0,0,0,0,0,0
62,,381,375,365,333,308,335,314,162,0,0,0,0,0,0
63,,0,0,0,1,1,1,0,2,0,0,1,0,0,0
64,,7,12,12,9,12,9,9,8,7,9,18,13,17,12
65,,14,10,21,12,12,6,11,6,11,7,9,12,4,11
66,,68,64,56,44,44,43,38,40,56,55,63,84,66,80
67,,196,182,122,158,113,95,106,84,97,92,145,100,69,99
68,,1,951,838,756,867,777,716,638,679,740,698,672,606,646
69,,156,104,69,85,106,97,76,92,113,95,99,79,86,158
70,,14,12,5,4,8,14,1,1,3,1,1,2,0,3
71,,199,182,156,144,154,132,121,115,121,119,144,130,113,131
72,,1,3,0,2,1,1,3,0,1,2,2,1,1,0
73,,19,28,34,25,22,26,43,32,43,35,40,37,26,11
74,,22,21,23,35,28,24,27,21,26,24,36,18,20,4
75,,187,220,206,184,183,211,182,152,186,126,165,115,107,66
76,,432,468,417,589,503,503,437,381,261,431,429,360,260,79
77,,1,1,1,2,2,1,1,1,1,1,1,1,978,415
78,,104,89,80,106,129,123,134,86,113,133,140,122,61,22
79,,32,37,36,23,22,21,17,17,8,10,17,16,11,6
80,,420,470,425,496,460,457,463,348,402,385,428,351,278,117
81,,20,23,35,25,27,15,28,25,28,0,0,0,0,0
82,,91,59,80,62,95,85,83,233,264,0,0,0,0,0
83,,489,229,318,289,291,277,238,254,304,0,0,0,0,0
84,,549,386,507,447,534,500,382,548,567,0,0,0,0,0
85,,2,1,1,1,1,1,1,1,1,0,0,0,0,0
86,,5,3,4,4,4,4,4,4,4,0,0,0,0,0
87,,2,1,1,1,1,1,1,956,989,0,0,0,0,0
88,,0,0,0,0,0,69,56,61,77,0,0,0,0,0
89,,632,406,521,471,507,464,440,538,553,0,0,0,0,0
90,,0,4,0,0,0,0,3,1,0,0,0,0,0,0
91,,48,41,62,42,38,53,55,25,0,0,0,0,0,0
92,,63,78,76,62,37,53,75,27,0,0,0,0,0,0
93,,299,291,293,315,271,269,216,158,0,0,0,0,0,0
94,,550,800,683,527,505,607,494,209,0,0,0,0,0,0
95,,4,3,3,3,3,3,2,1,0,0,0,0,0,0
96,,196,199,156,157,194,203,174,99,0,0,0,0,0,0
97,,23,26,20,21,14,26,19,12,0,0,0,0,0,0
98,,381,375,365,333,308,335,314,162,0,0,0,0,0,0
99,,0,0,0,1,1,1,0,2,0,0,1,0,0,0
100,,7,12,12,9,12,9,9,8,7,9,18,13,17,12
101,,14,10,21,12,12,6,11,6,11,7,9,12,4,11
102,,68,64,56,44,44,43,38,40,56,55,63,84,66,80
103,,196,182,122,158,113,95,106,84,97,92,145,100,69,99
104,,1,951,838,756,867,777,716,638,679,740,698,672,606,646
105,,156,104,69,85,106,97,76,92,113,95,99,79,86,158
106,,14,12,5,4,8,14,1,1,3,1,1,2,0,3
107,,199,182,156,144,154,132,121,115,121,119,144,130,113,131
108,,1,3,0,2,1,1,3,0,1,2,2,1,1,0
109,,19,28,34,25,22,26,43,32,43,35,40,37,26,11
110,,22,21,23,35,28,24,27,21,26,24,36,18,20,4
111,,187,220,206,184,183,211,182,152,186,126,165,115,107,66
112,,432,468,417,589,503,503,437,381,261,431,429,360,260,79
113,,1,1,1,2,2,1,1,1,1,1,1,1,978,415
114,,104,89,80,106,129,123,134,86,113,133,140,122,61,22
115,,32,37,36,23,22,21,17,17,8,10,17,16,11,6
116,,420,470,425,496,460,457,463,348,402,385,428,351,278,117
117,,20,23,35,25,27,15,28,25,28,0,0,0,0,0
118,,91,59,80,62,95,85,83,233,264,0,0,0,0,0
119,,489,229,318,289,291,277,238,254,304,0,0,0,0,0
120,,549,386,507,447,534,500,382,548,567,0,0,0,0,0
121,,2,1,1,1,1,1,1,1,1,0,0,0,0,0
122,,5,3,4,4,4,4,4,4,4,0,0,0,0,0
123,,2,1,1,1,1,1,1,956,989,0,0,0,0,0
124,,0,0,0,0,0,69,56,61,77,0,0,0,0,0
125,,632,406,521,471,507,464,440,538,553,0,0,0,0,0
126,,0,4,0,0,0,0,3,1,0,0,0,0,0,0
127,,48,41,62,42,38,53,55,25,0,0,0,0,0,0
128,,63,78,76,62,37,53,75,27,0,0,0,0,0,0
129,,299,291,293,315,271,269,216,158,0,0,0,0,0,0
130,,550,800,683,527,505,607,494,209,0,0,0,0,0,0
131,,4,3,3,3,3,3,2,1,0,0,0,0,0,0
132,,196,199,156,157,194,203,174,99,0,0,0,0,0,0
133,,23,26,20,21,14,26,19,12,0,0,0,0,0,0
134,,381,375,365,333,308,335,314,162,0,0,0,0,0,0
135,,0,0,0,1,1,1,0,2,0,0,1,0,0,0
136,,7,12,12,9,12,9,9,8,7,9,18,13,17,12
137,,14,10,21,12,12,6,11,6,11,7,9,12,4,11
138,,68,64,56,44,44,43,38,40,56,55,63,84,66,80
139,,196,182,122,158,113,95,106,84,97,92,145,100,69,99
